Date,Cas confirmés,Nouveaux cas,Décès,Nouveaux décès,Nouveaux tests,Tests effectués,Taux positif,Tests par cas,Bénéficiaires de la vaccination,Personnes entièrement vaccinées,Nouveaux vaccinations
2020-03-02,1,1,,,,29,,,,,
2020-03-03,1,0,,,4,33,,,,,
2020-03-04,1,0,,,2,35,,,,,
2020-03-05,2,1,,,7,42,,,,,
2020-03-06,2,0,,,10,52,,,,,
2020-03-07,2,0,,,5,57,0.057,17.5,,,
2020-03-08,2,0,,,,,0.057,17.5,,,
2020-03-09,2,0,,,,62,0.029,35,,,
2020-03-10,3,1,1,1,4,66,0.057,17.5,,,
2020-03-11,5,2,1,0,,,0.082,12.3,,,
2020-03-12,6,1,1,0,,97,0.071,14,,,
2020-03-13,7,1,1,0,4,101,0.102,9.8,,,
2020-03-14,17,10,1,0,29,130,0.214,4.7,,,
2020-03-15,28,11,1,0,,,0.265,3.8,,,
2020-03-16,29,1,1,0,,189,0.214,4.7,,,
2020-03-17,38,9,2,1,38,227,0.217,4.6,,,
2020-03-18,49,11,2,0,90,317,0.185,5.4,,,
2020-03-19,63,14,2,0,53,370,0.209,4.8,,,
2020-03-20,77,14,3,1,94,464,0.192,5.2,,,
2020-03-21,96,19,3,0,73,537,0.195,5.1,,,
2020-03-22,115,19,4,1,90,627,0.186,5.4,,,
2020-03-23,143,28,4,0,159,786,0.192,5.2,,,
2020-03-24,170,27,5,1,69,855,0.21,4.8,,,
2020-03-25,225,55,6,1,140,995,0.259,3.9,,,
2020-03-26,275,50,11,5,211,1206,0.255,3.9,,,
2020-03-27,345,70,23,12,562,1768,0.206,4.9,,,
2020-03-28,402,57,25,2,208,1976,0.212,4.7,,,
2020-03-29,479,77,26,1,297,2273,0.221,4.5,,,
2020-03-30,556,77,33,7,478,2751,0.21,4.8,,,
2020-03-31,617,61,36,3,149,2900,0.219,4.6,,,
2020-04-01,654,37,39,3,445,3345,0.182,5.5,,,
2020-04-02,708,54,44,5,279,3624,0.179,5.6,,,
2020-04-03,791,83,48,4,286,3910,0.208,4.8,,,
2020-04-04,919,128,59,11,411,4321,0.22,4.5,,,
2020-04-05,1021,102,70,11,527,4848,0.21,4.8,,,
2020-04-06,1120,99,80,10,256,5104,0.24,4.2,,,
2020-04-07,1184,64,90,10,333,5437,0.224,4.5,,,
2020-04-08,1275,91,93,3,315,5752,0.258,3.9,,,
2020-04-09,1374,99,97,4,631,6383,0.241,4.1,,,
2020-04-10,1448,74,107,10,856,7239,0.197,5.1,,,
2020-04-11,1545,97,111,4,709,7948,0.173,5.8,,,
2020-04-12,1661,116,118,7,656,8604,0.17,5.9,,,
2020-04-13,1763,102,126,8,524,9128,0.16,6.3,,,
2020-04-14,1888,125,126,0,794,9922,0.157,6.4,,,
2020-04-15,2024,136,127,1,728,10650,0.153,6.5,,,
2020-04-16,2283,259,130,3,1346,11996,0.162,6.2,,,
2020-04-17,2564,281,135,5,956,12952,0.195,5.1,,,
2020-04-18,2685,121,137,2,737,13689,0.199,5,,,
2020-04-19,2855,170,141,4,1434,15123,0.183,5.5,,,
2020-04-20,3046,191,143,2,1263,16386,0.177,5.7,,,
2020-04-21,3209,163,145,2,1714,18100,0.162,6.2,,,
2020-04-22,3446,237,149,4,1785,19885,0.154,6.5,,,
2020-04-23,3568,122,155,6,2062,21947,0.129,7.7,,,
2020-04-24,3758,190,158,3,1986,23933,0.109,9.2,,,
2020-04-25,3897,139,159,1,1510,25443,0.103,9.7,,,
2020-04-26,4065,168,161,2,1956,27399,0.099,10.1,,,
2020-04-27,4120,55,162,1,1855,29254,0.083,12,,,
2020-04-28,4252,132,165,3,1996,31250,0.079,12.6,,,
2020-04-29,4321,69,168,3,1680,32930,0.067,14.9,,,
2020-04-30,4423,102,170,2,1911,34841,0.066,15.1,,,
2020-05-01,4569,146,171,1,2165,37006,0.062,16.1,,,
2020-05-02,4729,160,173,2,2361,39367,0.06,16.7,,,
2020-05-03,4903,174,174,1,2745,42112,0.057,17.6,,,
2020-05-04,5053,150,179,5,3190,45302,0.058,17.2,,,
2020-05-05,5219,166,181,2,4268,49570,0.053,18.9,,,
2020-05-06,5408,189,183,2,3388,52958,0.054,18.4,,,
2020-05-07,5548,140,183,0,3534,56492,0.052,19.2,,,
2020-05-08,5711,163,186,3,3379,59871,0.05,20,,,
2020-05-09,5910,199,186,0,3188,63059,0.05,20.1,,,
2020-05-10,6063,153,188,2,2865,65924,0.049,20.5,,,
2020-05-11,6281,218,188,0,3056,68980,0.052,19.3,,,
2020-05-12,6418,137,188,0,2835,71815,0.054,18.6,,,
2020-05-13,6512,94,188,0,4055,75870,0.048,20.8,,,
2020-05-14,6607,95,190,2,2052,77922,0.049,20.2,,,
2020-05-15,6652,45,190,0,3694,81616,0.043,23.1,,,
2020-05-16,6741,89,192,2,3388,85004,0.038,26.4,,,
2020-05-17,6870,129,192,0,4953,89957,0.034,29.8,,,
2020-05-18,6952,82,192,0,5579,95536,0.025,39.6,,,
2020-05-19,7023,71,193,1,4831,100367,0.021,47.2,,,
2020-05-20,7133,110,194,1,5637,106004,0.021,48.5,,,
2020-05-21,7211,78,196,2,6993,112997,0.017,58.1,,,
2020-05-22,7332,121,197,1,10405,123402,0.016,61.4,,,
2020-05-23,7406,74,198,1,10159,133561,0.014,73,,,
2020-05-24,7433,27,199,1,9321,142882,0.011,94,,,
2020-05-25,7532,99,200,1,9321,152203,0.01,97.7,,,
2020-05-26,7577,45,202,2,9162,161365,0.009,110.1,,,
2020-05-27,7601,24,202,0,9348,170713,0.007,138.3,,,
2020-05-28,7643,42,202,0,9476,180189,0.006,155.5,,,
2020-05-29,7714,71,202,0,9872,190061,0.006,174.5,,,
2020-05-30,7780,66,204,2,9937,199998,0.006,177.6,,,
2020-05-31,7807,27,205,1,9141,209139,0.006,177.2,,,
2020-06-01,7833,26,205,0,12415,221554,0.004,230.4,,,
2020-06-02,7866,33,206,1,13097,234651,0.004,253.6,,,
2020-06-03,7922,56,206,0,13173,247824,0.004,240.2,,,
2020-06-04,8003,81,208,2,13186,261010,0.004,224.5,,,
2020-06-05,8071,68,208,0,14339,275349,0.004,238.9,,,
2020-06-06,8151,80,208,0,14108,289457,0.004,241.1,,,
2020-06-07,8224,73,208,0,16496,305953,0.004,232.2,,,
2020-06-08,8302,78,208,0,16750,322703,0.005,215.7,,,
2020-06-09,8437,135,210,2,16868,339571,0.005,183.8,,,
2020-06-10,8508,71,211,1,16480,356051,0.005,184.7,,,
2020-06-11,8537,29,211,0,16540,372591,0.005,209,,,
2020-06-12,8610,73,212,1,16551,389142,0.005,211.1,,,
2020-06-13,8692,82,212,0,16756,405898,0.005,215.2,,,
2020-06-14,8793,101,212,0,16622,422520,0.005,204.9,,,
2020-06-15,8885,92,212,0,16752,439272,0.005,199.9,,,
2020-06-16,8931,46,212,0,16496,455768,0.004,235.2,,,
2020-06-17,8997,66,213,1,15968,471736,0.004,236.6,,,
2020-06-18,9074,77,213,0,17211,488947,0.005,216.7,,,
2020-06-19,9613,539,213,0,16689,505636,0.009,116.1,,,
2020-06-20,9839,226,213,0,16530,522166,0.01,101.4,,,
2020-06-21,9977,138,214,1,16025,538191,0.01,97.7,,,
2020-06-22,10172,195,214,0,18504,556695,0.011,91.2,,,
2020-06-23,10344,172,214,0,18481,575176,0.012,84.5,,,
2020-06-24,10907,563,216,2,16581,591757,0.016,62.8,,,
2020-06-25,11338,431,217,1,,,0.019,51.7,,,
2020-06-26,11633,295,218,1,,620435,0.018,56.8,,,
2020-06-27,11877,244,220,2,13059,633494,0.018,54.6,,,
2020-06-28,12052,175,221,1,12701,646195,0.019,52,,,
2020-06-29,12290,238,225,4,16619,662814,0.02,50.1,,,
2020-06-30,12533,243,228,3,18377,681191,0.021,48.4,,,
2020-07-01,12636,103,228,0,16937,698128,0.016,61.5,,,
2020-07-02,12969,333,229,1,17725,715853,0.015,67.3,,,
2020-07-03,13288,319,230,1,16641,732494,0.015,67.7,,,
2020-07-04,13822,534,232,2,15955,748449,0.017,59.1,,,
2020-07-05,14215,393,235,3,17131,765580,0.018,55.2,,,
2020-07-06,14379,164,237,2,18059,783639,0.017,57.8,,,
2020-07-07,14607,228,240,3,17690,801329,0.017,57.9,,,
2020-07-08,14771,164,242,2,17795,819124,0.018,56.7,,,
2020-07-09,15079,308,242,0,16140,835264,0.018,56.6,,,
2020-07-10,15328,249,243,1,13833,849097,0.017,57.2,,,
2020-07-11,15542,214,245,2,15497,864594,0.015,67.5,,,
2020-07-12,15745,203,250,5,14032,878626,0.014,73.9,,,
2020-07-13,15936,191,255,5,18012,896638,0.014,72.6,,,
2020-07-14,16097,161,257,2,18502,915140,0.013,76.4,,,
2020-07-15,16262,165,259,2,18908,934048,0.013,77.1,,,
2020-07-16,16545,283,263,4,19667,953715,0.012,80.8,,,
2020-07-17,16726,181,264,1,19689,973404,0.011,88.9,,,
2020-07-18,17015,289,269,5,17110,990514,0.012,85.5,,,
2020-07-19,17236,221,273,4,18812,1009326,0.011,87.7,,,
2020-07-20,17562,326,276,3,18447,1027773,0.012,80.7,,,
2020-07-21,17742,180,280,4,19033,1046806,0.012,80,,,
2020-07-22,17962,220,285,5,19027,1065833,0.013,77.5,,,
2020-07-23,18264,302,292,7,19657,1085490,0.013,76.7,,,
2020-07-24,18834,570,299,7,19781,1105271,0.016,62.6,,,
2020-07-25,19645,811,305,6,20942,1126213,0.019,51.6,,,
2020-07-26,20278,633,313,8,20960,1147173,0.022,45.3,,,
2020-07-27,20887,609,316,3,20940,1168113,0.024,42.2,,,
2020-07-28,21387,500,327,11,20688,1188801,0.026,39,,,
2020-07-29,22213,826,334,7,21234,1210035,0.029,33.9,,,
2020-07-30,23259,1046,346,12,21160,1231195,0.034,29.2,,,
2020-07-31,24322,1063,353,7,21170,1252365,0.037,26.8,,,
2020-08-01,25015,693,367,14,21574,1273939,0.036,27.5,,,
2020-08-02,25537,522,382,15,21255,1295194,0.036,28.1,,,
2020-08-03,26196,659,401,19,21667,1316861,0.036,28,,,
2020-08-04,27217,1021,417,16,22128,1338989,0.039,25.8,,,
2020-08-05,28500,1283,435,18,22561,1361550,0.041,24.1,,,
2020-08-06,29644,1144,449,14,22266,1383816,0.042,23.9,,,
2020-08-07,30662,1018,461,12,21343,1405159,0.041,24.1,,,
2020-08-08,32007,1345,480,19,22476,1427635,0.045,22,,,
2020-08-09,33237,1230,498,18,22333,1449968,0.05,20.1,,,
2020-08-10,34063,826,516,18,22127,1472095,0.051,19.7,,,
2020-08-11,35195,1132,533,17,22001,1494096,0.051,19.4,,,
2020-08-12,36694,1499,556,23,22306,1516402,0.053,18.9,,,
2020-08-13,37935,1241,584,28,22118,1538520,0.054,18.7,,,
2020-08-14,39241,1306,611,27,22007,1560527,0.055,18.1,,,
2020-08-15,41017,1776,632,21,22707,1583234,0.058,17.3,,,
2020-08-16,42489,1472,658,26,22379,1605613,0.059,16.8,,,
2020-08-17,43558,1069,681,23,21197,1626810,0.061,16.3,,,
2020-08-18,44803,1245,714,33,21918,1648728,0.062,16.1,,,
2020-08-19,46313,1510,743,29,21841,1670569,0.062,16,,,
2020-08-20,47638,1325,775,32,21836,1692405,0.063,15.9,,,
2020-08-21,49247,1609,817,42,22178,1714583,0.065,15.4,,,
2020-08-22,50812,1565,858,41,22393,1736976,0.064,15.7,,,
2020-08-23,52349,1537,888,30,21894,1758870,0.064,15.5,,,
2020-08-24,53252,903,920,32,21110,1779980,0.063,15.8,,,
2020-08-25,54528,1276,955,35,22190,1802170,0.063,15.8,,,
2020-08-26,55864,1336,984,29,22081,1824251,0.062,16.1,,,
2020-08-27,57085,1221,1011,27,22009,1846260,0.061,16.3,,,
2020-08-28,58489,1404,1052,41,22285,1868545,0.06,16.7,,,
2020-08-29,60056,1567,1078,26,22419,1890964,0.06,16.7,,,
2020-08-30,61399,1343,1111,33,22001,1912965,0.059,17,,,
2020-08-31,62590,1191,1141,30,21369,1934334,0.06,16.5,,,
2020-09-01,63781,1191,1184,43,22082,1956416,0.06,16.7,,,
2020-09-02,65453,1672,1216,32,22424,1978840,0.062,16.1,,,
2020-09-03,66855,1402,1253,37,22284,2001124,0.063,15.9,,,
2020-09-04,68605,1750,1292,39,22802,2023926,0.065,15.4,,,
2020-09-05,70160,1555,1329,37,22570,2046496,0.065,15.4,,,
2020-09-06,72394,2234,1361,32,23557,2070053,0.07,14.3,,,
2020-09-07,73780,1386,1394,33,22238,2092291,0.071,14.1,,,
2020-09-08,75721,1941,1427,33,23099,2115390,0.075,13.3,,,
2020-09-09,77878,2157,1453,26,22774,2138164,0.078,12.8,,,
2020-09-10,79767,1889,1491,38,22634,2160798,0.081,12.4,,,
2020-09-11,82197,2430,1524,33,23468,2184266,0.085,11.8,,,
2020-09-12,84435,2238,1553,29,23130,2207396,0.089,11.3,,,
2020-09-13,86686,2251,1578,25,22673,2230069,0.089,11.2,,,
2020-09-14,88203,1517,1614,36,21694,2251763,0.09,11.1,,,
2020-09-15,90324,2121,1648,34,22279,2274042,0.092,10.9,,,
2020-09-16,92016,1692,1686,38,21769,2295811,0.09,11.2,,,
2020-09-17,94504,2488,1714,28,,,0.093,10.7,,,
2020-09-18,97264,2760,1755,41,,2342307,0.095,10.5,,,
2020-09-19,99816,2552,1795,40,23874,2366181,0.097,10.3,,,
2020-09-20,101743,1927,1830,35,22934,2389115,0.095,10.6,,,
2020-09-21,103119,1376,1855,25,21461,2410576,0.094,10.6,,,
2020-09-22,105346,2227,1889,34,23293,2433869,0.094,10.6,,,
2020-09-23,107743,2397,1918,29,23504,2457373,0.097,10.3,,,
2020-09-24,110099,2356,1956,38,23778,2481151,0.096,10.4,,,
2020-09-25,112522,2423,1998,42,24000,2505151,0.094,10.7,,,
2020-09-26,115241,2719,2041,43,24246,2529397,0.095,10.6,,,
2020-09-27,117685,2444,2069,28,23953,2553350,0.097,10.3,,,
2020-09-28,119107,1422,2113,44,22307,2575657,0.097,10.3,,,
2020-09-29,121183,2076,2152,39,22829,2598486,0.096,10.4,,,
2020-09-30,123653,2470,2194,42,22828,2621314,0.097,10.3,,,
2020-10-01,126044,2391,2229,35,22546,2643860,0.098,10.2,,,
2020-10-02,128565,2521,2263,34,22598,2666458,0.099,10.1,,,
2020-10-03,131228,2663,2293,30,22678,2689136,0.1,10,,,
2020-10-04,133272,2044,2330,37,22067,2711203,0.099,10.1,,,
2020-10-05,134695,1423,2369,39,20704,2731907,0.1,10,,,
2020-10-06,137248,2553,2410,41,21975,2753882,0.103,9.7,,,
2020-10-07,140024,2776,2439,29,24483,2778365,0.104,9.6,,,
2020-10-08,142953,2929,2486,47,25126,2803491,0.106,9.4,,,
2020-10-09,146398,3445,2530,44,25162,2828653,0.11,9.1,,,
2020-10-10,149841,3443,2572,42,25131,2853784,0.113,8.8,,,
2020-10-11,152404,2563,2605,33,23718,2877502,0.115,8.7,,,
